"SUM_BILNO","SUMMARY_DOCID","SUMMARY_TYPE","SUMMARY_TEXT"
"HB0870","HB870S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Board of Accountancy; licensing  requirements; inactive and emeritus status. </b>Directs the Board of  Accountancy to establish 'Inactive' and 'Emeritus' CPA  license statuses for licensees who no longer provide  services to the public or services to or on behalf of an employer. The bill  requires the Board to develop guidelines to provide active and inactive  licensees additional clarity governing the manner in which such licensees  should reference autobiographical and biographical information with respect to  their CPA licensure to remain historically accurate and compliant with the law  and relevant regulations. The bill directs the Board of Accountancy to adopt  emergency regulations to implement the provisions of the bill."
"HB0870","HB870SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Board of Accountancy; licensing requirements; inactive and emeritus status. </b>Directs the Board of Accountancy to establish 'Inactive' and 'Emeritus' CPA license statuses for licensees who no longer provide services to the public or services to or on behalf of an employer. The bill requires the Board to develop guidelines to provide active and inactive licensees additional clarity governing the manner in which such licensees should reference autobiographical and biographical information with respect to their CPA licensure to remain historically accurate and compliant with the law and relevant regulations. The bill directs the Board of Accountancy to adopt emergency regulations to implement the provisions of the bill. </p>"
"HB0871","HB871S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Storage of firearms in a residence where a minor or person  prohibited from possessing a firearm is present; penalty. </b>Requires any  person who possesses a firearm in a residence where such person knows that a minor  or a person who is prohibited by law from possessing a firearm is present to  store such firearm and the ammunition for such firearm in a locked container,  compartment, or cabinet that is inaccessible to such minor or prohibited  person. The bill provides that a violation is a Class 4 misdemeanor. The bill  exempts (i) any person in lawful possession of a firearm who carries such  firearm on or about his person and (ii) the storage of antique firearms and  provides that the lawful authorization of a minor to access a firearm is not a  violation of the bill's provisions. The bill also requires firearm dealers to  post a notice stating such firearm storage requirements and the penalty for  improperly storing such firearms."
"HB0872","HB872S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Possession of portable electronic device in district or  circuit court.</b> Requires the chief judge of each general district court,  juvenile and domestic relations district court, and circuit court to set a  policy regarding the use and possession of portable electronic devices, defined  in the bill as a personal laptop, a tablet, a mobile telephone, an electronic  calendar, an electronic book reader, a smart watch, or any other electronic  personal communication device, by members of the public who are not otherwise  authorized to use or possess such portable electronic devices. The bill sets  forth what additional provisions are required to be included in such policy  depending upon whether the chief judge of the district or circuit court  prohibits, restricts, or allows the use or possession of such portable  electronic devices in the courthouse, courtrooms, or both. The bill also  requires that any such policy be conspicuously posted at the entrance of the  courthouse and available on the Virginia Judicial System's website, the  district or circuit court's individual website, or a local government website  that also has information about such district or circuit court.</p>  <p class=sumtext>"
"HB0872","HB872SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Possession of portable electronic device in district or circuit court.</b> Requires the chief judge of each general district court, juvenile and domestic relations district court, and circuit court to set a policy regarding the use and possession of portable electronic devices, defined in the bill as a personal laptop, a tablet, a mobile telephone, an electronic calendar, an electronic book reader, a smart watch, or any other electronic personal communication device, by members of the public who are not otherwise authorized to use or possess such portable electronic devices. The bill sets forth what additional provisions are required to be included in such policy depending upon whether the chief judge of the district or circuit court prohibits, restricts, or allows the use or possession of such portable electronic devices in the courthouse, courtrooms, or both. The bill also requires that any such policy be conspicuously posted at the entrance of the courthouse and available on the Virginia Judicial System's website, the district or circuit court's individual website, or a local government website that also has information about such district or circuit court.</p><p class='sumtext'></p>"
"HB0873","HB873S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Public elementary school students; physical activity.</b>  Increases from 20 minutes to 30 minutes daily, and from an average of 100  minutes to 150 minutes per week, the minimum amount of time provided to public elementary  school students for programs of physical activity. The bill provides that no  student shall be prohibited from participating in a program of physical  activity as a form of disciplinary action, with the exception that a student  may be prohibited if it is determined that such program constitutes a health or  safety risk to the student."
"HB0874","HB874S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Domestic and Sexual Assault Conviction Database</b>.  Requires the Superintendent of State Police to establish a Domestic and Sexual  Assault Conviction Database that will include  information about persons who were convicted of certain  offenses against a family or household member, as  defined in relevant law, or an intimate partner, defined in  the bill. The bill specifies that the  Database will be available to the public on the Department of State Police's website. The bill provides  that any person whose information is on the Database may petition for  removal of such information from the Database if  certain requirements are met and that the State  Police shall include such petition information on the Database website. Under  the bill, the Superintendent of State Police is required to complete the  Database by July 1, 2027."
"HB0875","HB875S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Manufacturing, selling, giving, distributing, or possessing  with intent kratom; Virginia Consumer Protection Act; penalties.</b> Provides  that any person who knowingly manufactures, sells, gives, distributes, or  possesses with the intent to manufacture, sell, give, or distribute kratom,  when intended for human consumption, is guilty of a Class 1 misdemeanor. The  bill defines kratom as any part of the leaf of the plant Mitragyna speciosa or any extract thereof.</p>  <p class=sumtext>The bill also amends the existing provisions related to kratom  in the Virginia Consumer Protection Act to prohibit selling or offering for  sale (i) any kratom product to a person younger than 21 years of age or (ii)  any kratom product intended for human consumption. Under  current law, the Act prohibits selling or offering for sale (a) any kratom  product to a person younger than 21 years of age or (b) any kratom product that  does not include a label listing all ingredients and specific guidance about  such product."
"HB0876","HB876S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Zoning; wireless facilities; temporary support structures.</b>  Requires a locality to include in its zoning ordinance provisions that allow  for the use of temporary support structures that meet certain requirements. The  bill defines a temporary support structure as a monopole or portable wireless  communications facility used to provide wireless voice, data, or image  transmission within a designated area. The bill provides that an application  for a temporary support structure may request approval for up to 180 days with  extensions not to exceed two years."
"HB0877","HB877S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Public high school students; opportunity to earn  transferable meta-major associate degree during high school to reduce college  debt.</b> Requires the State Council of Higher Education for Virginia, in  cooperation with the Virginia Community College System and each  associate-degree-granting public institution of higher education and each  baccalaureate public institution of higher education, to establish a program by  which qualified high school students earn an associate degree in a meta-major  through dual enrollment, independent dual enrollment, as defined in the bill,  or a combination thereof, that (i) is fully transferable to any baccalaureate  public institution of higher education that offers a program of study in such  meta-major and (ii) to the extent possible, and as  determined by the applicable baccalaureate public institution of higher  education, satisfies discipline-specific degree requirements in the  student's preferred program of study. "
"HB0878","HB878S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Migrant labor camp permits; expiration.</b> Removes the  annual December 31 expiration date for all issued migrant labor camp permits  and provides that such permits expire 12 months from the date of issuance."
"HB0879","HB879S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Social Services; requests for records or  information concerning applicants for and recipients of public assistance;  public notice required.</b> Requires the Commissioner of Social Services or a local  director of social services to make a public notice available on the Department  of Social Services' website within 10 days of receiving a request for a record  or information concerning 25 or more applicants for or recipients of public  assistance or child support for a purpose not directly connected to the  administration of such programs. The bill establishes the form of such public  notice and requires such notice to be made available (i) regardless of whether  such information has been previously been shared; (ii) regardless of the  identity of the requestor, unless such request is permitted under existing law;  and (iii) even when a request is made in compliance with state and federal law  and regulation."
"HB0879","HB879SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Department of Social Services; requests for records or information concerning applicants for and recipients of public assistance; public notice required.</b> Requires the Commissioner of Social Services (the Commissioner) to make a public notice available on the Department of Social Services' website within 10 days of receiving a request for a record or information concerning 25 or more applicants for or recipients of public assistance or child support for a purpose not directly connected to the administration of such programs. If a local department of social services receives a request for information that meets the requirements of the bill, such local department of social services is required to notify the Commissioner of such request. The bill establishes the form of such public notice and requires such notice to be made available (i) regardless of whether such information has been previously been shared; (ii) regardless of the identity of the requestor, unless such request is permitted under existing law; and (iii) even when a request is made in compliance with state and federal law and regulation. </p>"
"HB0880","HB880S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Environmental Quality; monitoring  requirements for per- and polyfluoroalkyl substances in biosolids. </b>Directs  the Department of Environmental Quality to amend its regulations to require an owner  of a sewage treatment works to sample and test sewage sludge for per- and  polyfluoroalkyl substances (PFAS), defined in the bill, once a month. The bill  requires the results from such sampling to be  subject to all existing reporting, compliance, and enforcement provisions."
"HB0881","HB881S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Local prohibition or regulation of gas-powered leaf  blowers; civil penalty.</b> Provides that any locality with a population  density of at least 2,500 persons per square mile may by ordinance prohibit or  regulate the use of gas-powered leaf blowers. The bill provides that any such  ordinance shall become enforceable not less than 12 months after the date it is  enacted by the local governing body. The bill also provides  that the ordinance may include provisions for a civil penalty and that the funds from such civil penalties may be used by  the locality to assist with the purchase of nonprohibited  leaf blowers by residents and local businesses."
"HB0882","HB882S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Innovative Internship Fund and Program; local government  employers and matching funds.</b> Adds local government employers to those eligible for institutional grants and matching funds through the Innovative Internship Fund and Program."
"HB0883","HB883S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Secretary of Transportation; review of the VDOT's approval  process for projects involving buildings, road  development, and other construction; report.</b> Directs the Secretary of Transportation  to (i) conduct a review of the Department of Transportation's approval process  for projects involving buildings, road development,  and other construction and (ii) submit a summary of his review and a report of  his findings to the Chairs of the House and Senate Committees on Transportation  no later than December 1, 2026."
"HB0884","HB884S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Electric utilities; Percentage of Income Payment Program;  eligibility.</b> Amends the Percentage of Income Payment Program, which  provides electric bill payment assistance to eligible  customers, to include participation by any retail electric customer of Dominion  Energy Virginia or Appalachian Power with a  household income at or below 400 percent of the federal poverty guidelines and  directs the Department of Social Services to update its rules and guidelines  related to the Program accordingly."
"HB0884","HB884SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Electric utilities; Percentage of Income Payment Program; eligibility.</b> Amends the objectives of the Percentage of Income Payment Program, which provides electric bill payment assistance to eligible customers, to include (i) reducing the energy burden of eligible participants by limiting electric bill payments directly to no more than three percent of the eligible participant's annual household income if the household's heating source is anything other than electricity and to no more than five percent of an eligible participant's annual household income on electricity costs if the household's primary heating source is electricity. The bill provides that the annual total costs for the Program in current law shall apply through December 31, 2026. The bill also amends the eligibility criteria of the Program beginning January 1, 2027, to include any retail electric customer of Dominion Energy or Appalachian Power with a household income at or below 200 percent of the federal poverty level. The bill has a delayed effective date of January 1, 2027.</p>"
"HB0885","HB885S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Court Date Reminder Program established.</b> Establishes a  Court Date Reminder Program, to be developed or  procured by the Executive Secretary of the Supreme Court of Virginia, for the purpose of reminding  criminal defendants to appear at each of their scheduled court appearances and  to provide any related information. The bill directs the Program to send a text  message notification to any defendant with a criminal case or traffic  infraction in general district court or circuit court, allows a defendant to  opt out of participating in the Program, and allows the Program administrator  or his designee to use other communication methods to contact a defendant when  such defendant is unable to receive text messages, including telephone, email,  or other internet-based technology."
"HB0885","HB885SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Court Date Reminder Program established.</b> Establishes a Court Date Reminder Program, to be developed or procured by the Executive Secretary of the Supreme Court of Virginia, for the purpose of reminding criminal defendants to appear at each of their scheduled court appearances. The bill directs the Program to send a text message notification to any defendant with a criminal case in general district court or circuit court for whom the court has a telephone number prior to any scheduled hearing that requires his appearance and allows a defendant to opt out of participating in the Program. The Program has a delayed effective date of July 1, 2027.<p class='sumtext'>The bill also directs the Executive Secretary of the Supreme Court to convene a Court Date Reminder Program work group to advise on the implementation and expansion of the Program and submit a report of its findings and recommendations to the Supreme Court of Virginia and the Chairs of the House and Senate Committees for Courts of Justice by December 1, 2026.</p>"
"HB0886","HB886S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Health care; decision-making; end of  life; penalties.</b> Allows an adult diagnosed with a terminal disease to  request and an attending health care provider to prescribe a self-administered  controlled substance for the purpose of ending the patient's life. The bill  requires that a patient's request for a self-administered controlled substance  to end his life be given orally on two occasions and in writing, signed by the  patient and one witness, and that the patient be given an express opportunity  to rescind his request at any time. The bill makes it a Class 2 felony (i) to  willfully and deliberately alter, forge, conceal, or destroy a patient's  request, or rescission of request, for a self-administered controlled substance  to end his life with the intent and effect of causing the patient's death; (ii)  to coerce, intimidate, or exert undue influence on a patient to request a  self-administered controlled substance for the purpose of ending his life or to  destroy the patient's rescission of such request with the intent and effect of  causing the patient's death; or (iii) to coerce, intimidate, or exert undue  influence on a patient to forgo a self-administered controlled substance for  the purpose of ending the patient's life. The bill also grants immunity from  civil or criminal liability and professional disciplinary action to any person  who complies with the provisions of the bill and allows health care providers  to refuse to participate in the provision of a self-administered controlled  substance to a patient for the purpose of ending the patient's life.</p>    <p class=sumtext>"
"HB0887","HB887S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Charter; Town of Herndon.</b> Updates the charter for the  Town of Herndon in Fairfax County to permit greater  flexibility for the town council to contract with the town manager regarding  the location of his residence, clarifies the duties  of the town manager relative to employees, clarifies that the town council has  the authority to appoint two officers: the town  manager and town attorney, and establishes that the town manager has the  authority to employ any deputies or assistants for the two appointed offices.  The bill also removes outdated or duplicative provisions that occur as a result  of the changes to the town manager's duties and authority  and an obsolete reference to a Town of Herndon school board."
"HB0887","HB887SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Charter; Town of Herndon.</b> Updates the charter for the Town of Herndon in Fairfax County to permit greater flexibility for the town council to contract with the town manager regarding the location of his residence, clarifies the duties of the town manager relative to employees, clarifies that the town council has the authority to appoint two officers: the town manager and town attorney, and establishes that the town manager has the authority to employ any deputies or assistants for the two appointed offices. The bill also removes outdated or duplicative provisions that occur as a result of the changes to the town manager's duties and authority and an obsolete reference to a Town of Herndon school board. </p>"
"HB0888","HB888S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Minimum off-street parking requirements in certain areas. </b>Provides  that a locality shall not require, as a condition of zoning approval, minimum  off-street parking for residential, multifamily, or mixed-use development located  within a designated area, as defined in the bill, in amounts exceeding (i) 0.5  parking spaces per dwelling unit for multifamily or mixed-use residential  development and (ii) one parking space per dwelling unit for one-family and  two-family dwellings and townhouses. The bill also provides that no locality  shall adopt or enforce any provision of a zoning ordinance that imposes minimum  off-street parking requirements for residential, multifamily, or mixed-use  development located within a designated area in excess of such limitations. The  bill further provides that any locality with a population greater than 20,000  shall, by ordinance, provide for administrative reduction of minimum off-street  parking requirements of not less than 20 percent for residential, multifamily,  or mixed-use development proposed on parcels not located within a designated  area."
"HB0888","HB888SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Minimum off-street parking requirements in certain areas. </b>Provides that a locality shall not require, as a condition of zoning approval, minimum off-street parking for residential, multifamily, or mixed-use development located within a designated area, as defined in the bill, in amounts exceeding (i) 0.5 parking spaces per dwelling unit for multifamily or mixed-use residential development and (ii) one parking space per dwelling unit for one-family and two-family dwellings and townhouses. The bill also provides that no locality shall adopt or enforce any provision of a zoning ordinance that imposes minimum off-street parking requirements for residential, multifamily, or mixed-use development located within a designated area in excess of such limitations. The bill further provides that any locality with a population greater than 20,000 shall, by ordinance, provide for administrative reduction of minimum off-street parking requirements of not less than 20 percent for residential, multifamily, or mixed-use development proposed on parcels not located within a designated area. This bill incorporates HB 262. </p>"
"HB0889","HB889S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Electric utilities; construction of  certain transmission lines; priority of placement; work  group; report.</b> Directs the State Corporation Commission to require  the corridor or route chosen for any electrical transmission line of 138  kilovolts or more to comply with the following order of priority of placement:  (i) existing utility corridors, (ii) highway corridors, and (iii) new  corridors. The bill also directs the Department of Transportation to convene a  work group to identify opportunities and develop recommendations to amend  regulations and permitting processes to facilitate the expedient and efficient  siting of new electrical transmission infrastructure  in existing rights-of-way.</p>    <p class=sumtext>"
"HB0889","HB889SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Policy of the Commonwealth; siting of certain new electric transmission facilities; Department of Transportation work group; report. </b>Provides that in the siting of new electric transmission facilities, it is the policy of the Commonwealth that existing linear infrastructure corridors shall be prioritized over new corridors. The bill directs the Department of Transportation to convene a work group to identify opportunities and develop recommendations to amend regulations and permitting processes to facilitate the expedient and efficient siting of new electrical transmission infrastructure in existing state highway rights-of-way.</p><p class='sumtext'></p>"
"HB0890","HB890S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Director of the Department of General Services; electric  vehicles and charging stations; state targets. </b>Directs the Director of the  Department of General Services (the Director) to set  a goal for the electrification of the Commonwealth's centralized fleet that is  aligned with the Commonwealth Clean Energy Policy,  with interim targets set for 2028, 2030, and 2032. The bill also requires the  Director to set targets for the number and type of electric vehicle charging  stations installed at state facilities by those same years that are achievable  under the current Department of General Services appropriations and for the  same years if additional funds were made available.  The Director is required to report his findings and  recommendations to the Governor and the General Assembly by October 1, 2026."
"HB0891","HB891S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Siting of battery energy storage projects; commercial solar  photovoltaic generation facilities; permitted accessory use.</b> Deems battery  energy storage projects<b> </b>as a permitted accessory use in all zoning  districts on any parcel of land that is subject to an approved special  exception, as defined in the bill, for a commercial solar photovoltaic  generation facility, if such battery energy storage project is located within the boundaries of the parcel covered by  the existing special exception and complies with any applicable federal, state,  and local safety or fire codes and environmental regulations. The bill  prohibits a host locality from requiring a special exception or any other local  land use approval on such battery energy storage  project. The bill clarifies that nothing in the provisions of the bill shall be  construed to (i) limit the authority of a host locality to enforce compliance  with applicable codes or ensure the safe operation of the battery energy storage  project or (ii) preclude the developer of a battery energy storage project from  negotiating a siting agreement with the host locality. The bill also clarifies  that any battery energy storage project for which an initial interconnection  request has been filed with an electric utility or a regional transmission  organization prior to July 1, 2030, and is constructed in accordance with the  provisions of the bill shall be subject to the applicable local ordinance and  regulation in effect on July 1, 2026.</p>    <p class=sumtext>"
"HB0892","HB892S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Electric utilities; integrated resource plans; State  Corporation Commission to investigate electric load forecasts.</b> Requires Dominion Energy to provide information related to forecasting its compliance with renewable energy portfolio  standards in its integrated resource plans submitted to the State Corporation  Commission, and requires that certain data be excluded from such forecasting.  The bill also directs the Commission to initiate a proceeding to investigate  the electric load forecasts prepared by Dominion Energy, Appalachian Power  Company, electric cooperatives, and customers purchasing electricity from a  licensed supplier by November 1, 2026. "
"HB0892","HB892SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Electric utilities; integrated resource plans; State Corporation Commission to investigate electric load forecasting practices.</b> Requires Dominion Energy to provide information related to forecasting its compliance with renewable energy portfolio standards in its integrated resource plan submitted to the State Corporation Commission, excluding information related to accelerated renewable energy buyers or customers purchasing electricity from a licensed supplier. The bill also directs the Commission to initiate a proceeding no later than March 1, 2027,&nbsp;to investigate electric load forecasting practices by Dominion Energy, Appalachian Power Company, and electric distribution cooperatives.</p>"
"HB0893","HB893S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Electric utility integrated resource planning; energy  storage resources; power flow model. </b>Requires Dominion Energy, as part of  its integrated resource plan, to assess the use of energy storage resources through  a power flow model, as defined in the bill, that accounts for economic charge  and discharge times and represents various economic scenarios. The bill also  requires Dominion to evaluate and permits Dominion to propose making  investments in energy storage resources in its integrated resource plan."
"HB0893","HB893SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Electric utility integrated resource planning; energy storage resources. </b>Requires Dominion Energy, as part of its integrated resource plan, to assess the use of energy storage resources through appropriate modeling that accounts for economic charge and discharge times and represents various economic scenarios. The bill also requires systematically evaluating and permits proposing investments in energy storage resources in the integrated resource plan. </p>"
"HB0894","HB894S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Charlie's Law to Protect All Students; private elementary  and secondary schools; student codes of conduct; policies relating to bullying  and cyberbullying prevention and parental notification; requirements.</b>  Requires each principal, headmaster, or other chief administrator of each  private elementary or secondary school in the Commonwealth to include in such school's (i) policies for  codes of student conduct procedures for addressing and handling instances of  bullying and cyberbullying and (ii) code of student conduct policies and  procedures that include a prohibition against bullying and  cyberbullying and that (a) direct the principal, headmaster, or other  chief administrator or his designee to provide written notification to the  parent of any student involved in an alleged incident of bullying or cyberbullying within 24 hours of learning of the  allegation of bullying or cyberbullying; (b) include  prohibitions against and procedures for addressing instances of cyberbullying;  (c) provide protections for any student who is a victim of or witness to an  instance of bullying or cyberbullying; (d) include a list of support services  and resources available through such school to any student who is a victim of  bullying or cyberbullying; and (e) include prohibitions against hazing, as that  term is defined in applicable law."
"HB0894","HB894SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Charlie's Law to Protect All Students; private elementary and secondary schools; student codes of conduct, policies, and procedures relating to bullying and cyberbullying prevention.</b> Requires each principal, headmaster, or other chief administrator of each private elementary or secondary school in the Commonwealth to include in such school's codes of student conduct policies and procedures for addressing and handling instances of bullying and cyberbullying and a prohibition against bullying and cyberbullying. This bill incorporates HB 53.</p>"
"HB0895","HB895S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Electric utilities; energy storage requirements; Department  of Energy to develop model ordinance; work groups; reports</b>. Increases the  targets for energy storage capacity that Appalachian Power and Dominion Energy  Virginia are required to petition the State Corporation Commission (the Commission) for approval to construct, acquire, or  procure and extends the time frame by which such capacity must be met. Under  the bill, (i) Appalachian Power shall petition the Commission for approval to  construct, acquire, or procure at least 780 megawatts of short-duration energy  storage capacity by 2040 and 520 megawatts of long-duration energy storage  capacity by 2045 and (ii) Dominion Energy Virginia shall petition the  Commission for approval to construct, acquire, or procure at least 16,000  megawatts of short-duration energy storage capacity by 2045 and 3,480 megawatts  of long-duration energy storage capacity by 2045. 'Long-duration energy  storage' and 'short-duration energy storage' are defined in the  bill. The bill requires the Commission to conduct a technology demonstration  program for long-duration energy storage resources and initiate a proceeding to  determine if such technology is viable and that the targets in the bill are  reasonably achievable, for which a final order shall be entered no later than  March 1, 2030. Certain provisions of the bill are only effective upon such  determination by the Commission.</p>  <p class=sumtext>The bill requires the Department of Energy, in consultation  with the Department of Environmental Quality and the Department of Fire  Programs, to create a model ordinance for use by localities in their regulation  of energy storage projects and to submit a report to the  General Assembly by December 1, 2026. The bill directs the Department of  Energy and the Department of Environmental Quality to convene a work group to  develop recommendations and financial incentives related to the development of  long-duration energy storage projects and submit a report  to the General Assembly by December 1, 2026. The bill also directs the  Department of Energy to engage with PJM Interconnection, LLC, in reviewing  regional market conditions related to energy storage resources and permits  Dominion Energy Virginia to propose a partnership with institutions of higher  education to deploy energy storage resources."
"HB0895","HB895SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Electric utilities; energy storage requirements; Department of Energy to develop model ordinance; work groups; reports</b>. Increases the targets for energy storage capacity that Appalachian Power and Dominion Energy Virginia are required to petition the State Corporation Commission (the Commission) for approval to construct, acquire, or procure and extends the time frame by which such capacity must be met. Under the bill, (i) Appalachian Power shall petition the Commission for approval to construct, acquire, or procure at least 780 megawatts of short-duration energy storage capacity by 2040 and 520 megawatts of long-duration energy storage capacity by 2045 and (ii) Dominion Energy Virginia shall petition the Commission for approval to construct, acquire, or procure at least 16,000 megawatts of short-duration energy storage capacity by 2045 and 4,000 megawatts of long-duration energy storage capacity by 2045. 'Long-duration energy storage' and 'short-duration energy storage' are defined in the bill. The bill requires the Commission to conduct a technology demonstration program for long-duration energy storage resources and initiate a proceeding to determine if such technology is viable and that the targets in the bill are reasonably achievable, for which a final order shall be entered no later than March 1, 2031. Certain provisions of the bill are only effective upon such determination by the Commission.</p><p class='sumtext'>The bill requires the Department of Energy, in consultation with the Department of Environmental Quality and the Department of Fire Programs, to create a model ordinance for use by localities in their regulation of energy storage projects and to submit a report to the General Assembly by December 1, 2026. The bill directs the Department of Energy and the Department of Environmental Quality to convene work groups to develop recommendations and financial incentives related to the development of long-duration and short-duration&nbsp;energy storage projects and submit a report to the General Assembly by December 1, 2026. The bill also directs the Department of Energy to engage with PJM Interconnection, LLC, in reviewing regional market conditions related to energy storage resources and permits Dominion Energy Virginia to propose a partnership with institutions of higher education to deploy energy storage resources. </p>"
"HB0896","HB896S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Substantial risk orders; Substantial  Risk Order Training Program established; annual report.</b> Directs the  Department of Criminal Justice Services to establish the  Substantial Risk Order Training Program for the purposes of training law-enforcement  agencies, judicial staff, and other public institutions throughout the  Commonwealth to use and implement the substantial risk order law. The bill  directs all law-enforcement officers to receive training in the use and implementation of substantial  risk orders. The bill requires the programming to provide training regarding proper procedures to  follow, the circumstances under which the law can be used, the benefits to  public safety from proper use of the law, and the harm that may ensue from the law not being used when lawfully  available. The Program also includes efforts to  educate the public on and increase awareness of the substantial risk order law.  The bill requires the Department to report by November 1 each year to the  Secretary of Public Safety and Homeland Security regarding the use of Program  funds, details of the content of programming developed, and the effectiveness  of the Program in assisting law-enforcement agencies, the judiciary, and other  public institutions in the use of the substantial risk order law."
"HB0896","HB896SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Substantial risk orders; Substantial Risk Order Training Program established; annual report.</b> Directs the Department of Criminal Justice Services to establish the Substantial Risk Order Training Program for the purposes of training law-enforcement agencies and other public institutions throughout the Commonwealth to use and implement the substantial risk order law. The bill directs all law-enforcement officers to receive training in the use and implementation of substantial risk orders. The bill requires the programming to provide training regarding proper procedures to follow, the circumstances under which the law can be used, the benefits to public safety from proper use of the law, and the harm that may ensue from the law not being used when lawfully available. The Program also includes efforts to educate the public on and increase awareness of the substantial risk order law. The bill requires the Department to report by November 1 each year to the Secretary of Public Safety and Homeland Security regarding the use of Program funds, details of the content of programming developed, and the effectiveness of the Program in assisting law-enforcement agencies and other public institutions in the use of the substantial risk order law. </p>"
"HB0897","HB897S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Retail sales and use tax; exemption for data centers. </b>Requires  a data center operator, in order to be eligible for the existing data center  sales and use tax exemption, to (i) beginning July 1, 2027, not use co-located generating  facilities that emit carbon dioxide, other than backup generators; (ii) beginning July 1, 2029,  contract for a certain percentage of energy, capacity, and renewable  energy certificates from clean energy resources, as evidenced by a  certification from the State Corporation Commission, or contracts and service  agreements; (iii) utilize  only non-carbon dioxide-emitting backup power sources, such as energy storage  resources, beginning on a date dependent on the data center's initial service  date; and (iv) beginning July 1, 2030, have demonstrated sufficient investment in environmental  management and energy efficiency measures to provide system-wide benefits."
"HB0897","HB897SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Retail sales and use tax; exemption for data centers. </b>Requires a data center operator, in order to be eligible for the existing data center sales and use tax exemption, to (i) beginning July 1, 2027, not use co-located generating facilities that emit carbon dioxide, other than backup generators; (ii) beginning July 1, 2029, contract for a certain percentage of energy, capacity, and renewable energy certificates from clean energy resources, as evidenced by a certification from the State Corporation Commission, or contracts and service agreements; (iii) utilize only non-carbon dioxide-emitting backup power sources, such as energy storage resources, beginning on a date dependent on the data center's initial service date; and (iv) demonstrate, for any new data center issued a final certificate of occupancy or its equivalent on or after January 1, 2030, or for any data center operator seeking an amended memorandum of understanding, sufficient investment in environmental management and energy efficiency measures to provide system-wide benefits, as defined in the bill. Finally, the bill has a delayed effective date of July 1, 2027. </p>"
"HB0898","HB898S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Electric, gas, water, and wastewater utilities;  disconnections for nonpayment; certain fees prohibited.</b> Amends a provision  authorizing electric, gas, water, and wastewater utilities  to recover costs related to compliance with disconnection suspensions for residential customers for nonpayment of bills or fees  on certain days and during extreme temperatures to require such costs to be recovered  through the utility's base rates for service. The bill also prohibits such  utilities from charging disconnection or reconnection fees to restore service  to residential customers disconnected due to the nonpayment of bills or fees."
